method_key,method,seed,decision,store_format,n_examples,train_examples,validation_examples,external_examples,validation_target_balanced_accuracy,external_target_balanced_accuracy,external_worst_target_source_accuracy,validation_source_leakage_balanced_accuracy
erm_probe,ERM probe,0,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
source_balanced_erm,source-balanced ERM,0,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986331066120963,0.8789122204717004,0.8174571448726691,0.8179544729165196
group_reweighted_erm,group-reweighted ERM,0,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
group_dro_probe,GroupDRO-style probe,0,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
FARO_selected,FARO selected frontier point,0,ABSTAIN,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
erm_probe,ERM probe,1,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
source_balanced_erm,source-balanced ERM,1,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986331066120963,0.8789122204717004,0.8174571448726691,0.8179544729165196
group_reweighted_erm,group-reweighted ERM,1,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
group_dro_probe,GroupDRO-style probe,1,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
FARO_selected,FARO selected frontier point,1,ABSTAIN,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
erm_probe,ERM probe,2,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
source_balanced_erm,source-balanced ERM,2,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986331066120963,0.8789122204717004,0.8174571448726691,0.8179544729165196
group_reweighted_erm,group-reweighted ERM,2,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
group_dro_probe,GroupDRO-style probe,2,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
FARO_selected,FARO selected frontier point,2,ABSTAIN,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
erm_probe,ERM probe,3,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
source_balanced_erm,source-balanced ERM,3,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986331066120963,0.8789122204717004,0.8174571448726691,0.8179544729165196
group_reweighted_erm,group-reweighted ERM,3,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
group_dro_probe,GroupDRO-style probe,3,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
FARO_selected,FARO selected frontier point,3,ABSTAIN,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
erm_probe,ERM probe,4,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
source_balanced_erm,source-balanced ERM,4,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986331066120963,0.8789122204717004,0.8174571448726691,0.8179544729165196
group_reweighted_erm,group-reweighted ERM,4,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
group_dro_probe,GroupDRO-style probe,4,FIT,trace_embedding_store_v1,455954,302436,68464,85054,0.8986326662640042,0.8789710066545959,0.8175747172384603,0.8179544729165196
FARO_selected,FARO selected frontier point,4,ABSTAIN,trace_embedding_store_v1,455954,302436,68464,85054,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8179544729165196
