case,method_key,method,category,validation_target_balanced_accuracy_mean,validation_target_balanced_accuracy_ci95,validation_source_leakage_balanced_accuracy_mean,validation_source_leakage_balanced_accuracy_ci95,target_loss_mean,target_loss_ucb95,source_reduction_mean,source_reduction_lcb95,target_safe,source_sufficient,certified_safe
civilcomments_strict_safety_abstain,source_probe_projection,Source-probe projection,representation_edit,0.5,0.0,0.5006,0.0002,0.243,0.2432,0.2452,0.2448,False,True,False
civilcomments_strict_safety_abstain,inlp_style_projection_k3,INLP-style projection,representation_edit,0.5,0.0,0.5,0.0,0.243,0.2432,0.2458,0.2456,False,True,False
civilcomments_strict_safety_abstain,leace_closed_form_affine_erasure,LEACE closed-form affine,concept_erasure,0.5,0.0,0.5,0.0,0.243,0.2432,0.2458,0.2456,False,True,False
civilcomments_strict_safety_abstain,coordinate_FARO,FARO coordinate frontier,faro,0.5,0.0,0.7441,0.0002,0.243,0.2432,0.0017,0.0013,False,False,False
civilcomments_strict_safety_abstain,balanced_coordinate_FARO,FARO selected frontier point,faro,0.7379,0.0003,0.7421,0.0002,0.0051,0.0056,0.0037,0.0033,False,False,False
civilcomments_strict_safety_abstain,subspace_FARO,FARO source-subspace frontier,faro,0.5,0.0,0.5157,0.0003,0.243,0.2432,0.2301,0.2296,False,True,False
civilcomments_strict_safety_abstain,task_preserving_linear_erasure,SPLINCE-style task-preserving linear erasure,concept_erasure,0.7372,0.0,0.5859,0.0,0.0058,0.006,0.1599,0.1597,False,True,False
civilcomments_strict_safety_abstain,linear_adversarial_concept_erasure,R-LACE-style linear adversarial concept erasure,concept_erasure,0.735,0.0003,0.7009,0.0004,0.008,0.0085,0.0449,0.0443,False,False,False
civilcomments_strict_safety_abstain,target_concept_erasure,TaCo-style target-conditioned nonlinear concept erasure,concept_erasure,0.736,0.0001,0.5689,0.0061,0.007,0.0073,0.1769,0.1706,False,True,False
civilcomments_strict_safety_abstain,manifold_aware_concept_erasure,MANCE-style PCA-tangent manifold-aware concept erasure,concept_erasure,0.7372,0.0,0.5944,0.0009,0.0058,0.006,0.1514,0.1503,False,True,False
civilcomments_relaxed_safety_edit,source_probe_projection,Source-probe projection,representation_edit,0.5,0.0,0.5006,0.0002,0.243,0.2432,0.2452,0.2448,False,True,False
civilcomments_relaxed_safety_edit,inlp_style_projection_k3,INLP-style projection,representation_edit,0.5,0.0,0.5,0.0,0.243,0.2432,0.2458,0.2456,False,True,False
civilcomments_relaxed_safety_edit,leace_closed_form_affine_erasure,LEACE closed-form affine,concept_erasure,0.5,0.0,0.5,0.0,0.243,0.2432,0.2458,0.2456,False,True,False
civilcomments_relaxed_safety_edit,coordinate_FARO,FARO coordinate frontier,faro,0.5,0.0,0.7441,0.0002,0.243,0.2432,0.0017,0.0013,False,False,False
civilcomments_relaxed_safety_edit,balanced_coordinate_FARO,FARO selected frontier point,faro,0.7379,0.0003,0.7421,0.0002,0.0051,0.0056,0.0037,0.0033,True,False,False
civilcomments_relaxed_safety_edit,subspace_FARO,FARO source-subspace frontier,faro,0.5,0.0,0.5157,0.0003,0.243,0.2432,0.2301,0.2296,False,True,False
civilcomments_relaxed_safety_edit,task_preserving_linear_erasure,SPLINCE-style task-preserving linear erasure,concept_erasure,0.7372,0.0,0.5859,0.0,0.0058,0.006,0.1599,0.1597,True,True,True
civilcomments_relaxed_safety_edit,linear_adversarial_concept_erasure,R-LACE-style linear adversarial concept erasure,concept_erasure,0.735,0.0003,0.7009,0.0004,0.008,0.0085,0.0449,0.0443,False,False,False
civilcomments_relaxed_safety_edit,target_concept_erasure,TaCo-style target-conditioned nonlinear concept erasure,concept_erasure,0.736,0.0001,0.5689,0.0061,0.007,0.0073,0.1769,0.1706,False,True,False
civilcomments_relaxed_safety_edit,manifold_aware_concept_erasure,MANCE-style PCA-tangent manifold-aware concept erasure,concept_erasure,0.7372,0.0,0.5944,0.0009,0.0058,0.006,0.1514,0.1503,True,True,True
