method_key,method,seed,decision,n_examples,train_examples,validation_examples,external_examples,validation_target_balanced_accuracy,external_target_balanced_accuracy,external_worst_target_source_accuracy,validation_source_leakage_balanced_accuracy
erm_probe,ERM probe,0,FIT,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
source_balanced_erm,source-balanced ERM,0,FIT,306,174,63,69,0.6716507177033493,0.684640522875817,0.6296296296296297,0.7606060606060605
group_reweighted_erm,group-reweighted ERM,0,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
group_dro_probe,GroupDRO-style probe,0,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
VERA_selected,VERA selected frontier point,0,EDIT_OR_ABSTAIN_EVALUATED,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
erm_probe,ERM probe,1,FIT,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
source_balanced_erm,source-balanced ERM,1,FIT,306,174,63,69,0.6716507177033493,0.684640522875817,0.6296296296296297,0.7606060606060605
group_reweighted_erm,group-reweighted ERM,1,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
group_dro_probe,GroupDRO-style probe,1,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
VERA_selected,VERA selected frontier point,1,EDIT_OR_ABSTAIN_EVALUATED,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
erm_probe,ERM probe,2,FIT,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
source_balanced_erm,source-balanced ERM,2,FIT,306,174,63,69,0.6716507177033493,0.684640522875817,0.6296296296296297,0.7606060606060605
group_reweighted_erm,group-reweighted ERM,2,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
group_dro_probe,GroupDRO-style probe,2,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
VERA_selected,VERA selected frontier point,2,EDIT_OR_ABSTAIN_EVALUATED,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
erm_probe,ERM probe,3,FIT,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
source_balanced_erm,source-balanced ERM,3,FIT,306,174,63,69,0.6716507177033493,0.684640522875817,0.6296296296296297,0.7606060606060605
group_reweighted_erm,group-reweighted ERM,3,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
group_dro_probe,GroupDRO-style probe,3,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
VERA_selected,VERA selected frontier point,3,EDIT_OR_ABSTAIN_EVALUATED,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
erm_probe,ERM probe,4,FIT,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
source_balanced_erm,source-balanced ERM,4,FIT,306,174,63,69,0.6716507177033493,0.684640522875817,0.6296296296296297,0.7606060606060605
group_reweighted_erm,group-reweighted ERM,4,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
group_dro_probe,GroupDRO-style probe,4,FIT,306,174,63,69,0.6866028708133971,0.6650326797385621,0.5555555555555556,0.7606060606060605
VERA_selected,VERA selected frontier point,4,EDIT_OR_ABSTAIN_EVALUATED,306,174,63,69,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605
