dataset,method_key,method,official_code,rank,selection_role,validation_target_balanced_accuracy,external_target_balanced_accuracy,external_worst_target_source_accuracy,validation_source_leakage_balanced_accuracy,external_source_leakage_balanced_accuracy
waterbirds,no_edit,No edit,False,,reference_no_edit,0.7611754466552232,0.7560357392019119,0.3987538940809969,0.9065498052309404,0.9059371763893683
waterbirds,inlp_rank1,INLP rank 1,False,1,reference_eraser,0.7667984269355059,0.7606324816434231,0.40031152647975077,0.8923692264885921,0.9062823610631687
waterbirds,inlp_rank4,INLP rank 4,False,4,reference_eraser,0.7903943943459937,0.7777735181769829,0.4454828660436137,0.8364732888146912,0.8450120814635831
waterbirds,leace_official,LEACE official,True,,reference_eraser,0.582170861236693,0.5953564595119188,0.07009345794392523,0.48207011686143575,0.48860890576458404
camelyon17,no_edit,No edit,False,,reference_no_edit,0.897383405553834,0.8904695840289698,0.8464034613304489,0.8491882658360984,nan
camelyon17,inlp_rank1,INLP rank 1,False,1,reference_eraser,0.897980879403131,0.8911867754602958,0.8484492204952148,0.8523388713249979,nan
camelyon17,inlp_rank4,INLP rank 4,False,4,reference_eraser,0.8972913591483818,0.8943259576269194,0.8628165635948927,0.825874732728308,nan
camelyon17,leace_official,LEACE official,True,,reference_eraser,0.8974206934792913,0.8891292590589508,0.8426646600982906,0.5015249211542832,nan
gaitpdb,no_edit,No edit,False,,reference_no_edit,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7606060606060605,0.6116379310344828
gaitpdb,inlp_rank1,INLP rank 1,False,1,reference_eraser,0.6716507177033493,0.6944444444444444,0.6666666666666666,0.7272727272727273,0.5224137931034483
gaitpdb,inlp_rank4,INLP rank 4,False,4,reference_eraser,0.6602870813397129,0.7042483660130718,0.6666666666666666,0.6151515151515152,0.4254310344827586
gaitpdb,leace_official,LEACE official,True,,reference_eraser,0.6602870813397129,0.7238562091503268,0.6666666666666666,0.5515151515151515,0.7293103448275862
